ImageNum, Sigma, DictSize, Iter, PSNR(db), Time, Method
2, 50, 128, 0, 14.15, 0, FISTA
2, 50, 128, 1, 25.61, 1757.67, FISTA
2, 50, 128, 2, 25.62, 1246.34, FISTA
2, 50, 128, 3, 25.62, 1291.47, FISTA
2, 50, 128, 4, 25.62, 1322.27, FISTA
2, 50, 128, 5, 25.62, 1682.47, FISTA
2, 50, 128, 6, 25.62, 1317.36, FISTA
2, 50, 128, 7, 25.62, 1750.67, FISTA
2, 50, 128, 8, 25.62, 1844.56, FISTA
2, 50, 256, 0, 14.15, 0, FISTA
2, 50, 256, 1, 25.61, 2029.23, FISTA
2, 50, 256, 2, 25.61, 2012.47, FISTA
2, 50, 256, 3, 25.61, 1979.56, FISTA
2, 50, 256, 4, 25.61, 2013.02, FISTA
2, 50, 256, 5, 25.61, 1668.58, FISTA
2, 50, 256, 6, 25.61, 1373.70, FISTA
2, 50, 256, 7, 25.61, 493.47, FISTA
2, 50, 256, 8, 25.61, 483.66, FISTA
