ImageNum, Sigma, DictSize, Iter, PSNR(db), Time, Method
1, 10, 64, 0, 28.13, 0, FeatureSign
1, 10, 64, 1, 34.05, 56.43, FeatureSign
1, 10, 64, 2, 34.06, 59.07, FeatureSign
1, 10, 64, 3, 34.10, 51.03, FeatureSign
1, 10, 64, 4, 34.12, 51.31, FeatureSign
1, 10, 64, 5, 34.12, 63.82, FeatureSign
1, 10, 64, 6, 34.13, 49.99, FeatureSign
1, 10, 64, 7, 34.14, 53.73, FeatureSign
1, 10, 64, 8, 34.15, 50.25, FeatureSign
1, 10, 128, 0, 28.13, 0, FeatureSign
1, 10, 128, 1, 34.09, 67.63, FeatureSign
1, 10, 128, 2, 34.18, 63.23, FeatureSign
1, 10, 128, 3, 34.23, 63.19, FeatureSign
1, 10, 128, 4, 34.26, 58.67, FeatureSign
1, 10, 128, 5, 34.30, 60.40, FeatureSign
1, 10, 128, 6, 34.32, 59.73, FeatureSign
1, 10, 128, 7, 34.32, 57.95, FeatureSign
1, 10, 128, 8, 34.32, 57.80, FeatureSign
1, 10, 256, 0, 28.13, 0, FeatureSign
1, 10, 256, 1, 34.15, 80.64, FeatureSign
1, 10, 256, 2, 34.26, 76.96, FeatureSign
1, 10, 256, 3, 34.33, 75.07, FeatureSign
1, 10, 256, 4, 34.36, 72.45, FeatureSign
1, 10, 256, 5, 34.35, 71.73, FeatureSign
1, 10, 256, 6, 34.36, 70.92, FeatureSign
1, 10, 256, 7, 34.37, 70.64, FeatureSign
1, 10, 256, 8, 34.36, 68.93, FeatureSign
1, 20, 64, 0, 22.12, 0, FeatureSign
1, 20, 64, 1, 30.12, 70.98, FeatureSign
1, 20, 64, 2, 30.22, 64.47, FeatureSign
1, 20, 64, 3, 30.30, 63.72, FeatureSign
1, 20, 64, 4, 30.34, 61.74, FeatureSign
1, 20, 64, 5, 30.37, 62.22, FeatureSign
1, 20, 64, 6, 30.37, 61.00, FeatureSign
1, 20, 64, 7, 30.37, 61.77, FeatureSign
1, 20, 64, 8, 30.37, 63.08, FeatureSign
1, 20, 128, 0, 22.12, 0, FeatureSign
1, 20, 128, 1, 30.19, 76.43, FeatureSign
1, 20, 128, 2, 30.28, 76.80, FeatureSign
1, 20, 128, 3, 30.37, 73.02, FeatureSign
1, 20, 128, 4, 30.41, 71.66, FeatureSign
1, 20, 128, 5, 30.44, 72.05, FeatureSign
1, 20, 128, 6, 30.45, 70.60, FeatureSign
1, 20, 128, 7, 30.46, 71.30, FeatureSign
1, 20, 128, 8, 30.48, 71.39, FeatureSign
1, 20, 256, 0, 22.12, 0, FeatureSign
1, 20, 256, 1, 30.21, 97.44, FeatureSign
1, 20, 256, 2, 30.35, 93.72, FeatureSign
1, 20, 256, 3, 30.42, 87.01, FeatureSign
1, 20, 256, 4, 30.45, 86.94, FeatureSign
1, 20, 256, 5, 30.47, 84.81, FeatureSign
1, 20, 256, 6, 30.49, 82.78, FeatureSign
1, 20, 256, 7, 30.50, 81.44, FeatureSign
1, 20, 256, 8, 30.50, 81.91, FeatureSign
1, 50, 64, 0, 14.15, 0, FeatureSign
1, 50, 64, 1, 24.71, 85.80, FeatureSign
1, 50, 64, 2, 24.74, 85.00, FeatureSign
1, 50, 64, 3, 24.77, 86.76, FeatureSign
1, 50, 64, 4, 24.80, 84.68, FeatureSign
1, 50, 64, 5, 24.81, 82.77, FeatureSign
1, 50, 64, 6, 24.81, 85.46, FeatureSign
1, 50, 64, 7, 24.83, 81.37, FeatureSign
1, 50, 64, 8, 24.84, 82.93, FeatureSign
1, 50, 128, 0, 14.15, 0, FeatureSign
1, 50, 128, 1, 24.86, 98.26, FeatureSign
1, 50, 128, 2, 24.87, 96.65, FeatureSign
1, 50, 128, 3, 24.86, 93.75, FeatureSign
1, 50, 128, 4, 24.85, 104.11, FeatureSign
1, 50, 128, 5, 24.86, 107.33, FeatureSign
1, 50, 128, 6, 24.87, 104.50, FeatureSign
1, 50, 128, 7, 24.89, 106.10, FeatureSign
1, 50, 128, 8, 24.91, 101.64, FeatureSign
1, 50, 256, 0, 14.15, 0, FeatureSign
1, 50, 256, 1, 24.86, 132.12, FeatureSign
1, 50, 256, 2, 24.85, 125.43, FeatureSign
1, 50, 256, 3, 24.83, 117.47, FeatureSign
1, 50, 256, 4, 24.82, 113.90, FeatureSign
1, 50, 256, 5, 24.84, 116.81, FeatureSign
1, 50, 256, 6, 24.84, 116.07, FeatureSign
1, 50, 256, 7, 24.84, 104.87, FeatureSign
1, 50, 256, 8, 24.85, 116.35, FeatureSign
2, 10, 64, 0, 28.13, 0, FeatureSign
2, 10, 64, 1, 33.38, 68.00, FeatureSign
2, 10, 64, 2, 33.37, 72.29, FeatureSign
2, 10, 64, 3, 33.38, 72.66, FeatureSign
2, 10, 64, 4, 33.41, 58.07, FeatureSign
2, 10, 64, 5, 33.44, 57.38, FeatureSign
2, 10, 64, 6, 33.45, 56.12, FeatureSign
2, 10, 64, 7, 33.45, 52.09, FeatureSign
2, 10, 64, 8, 33.45, 55.59, FeatureSign
2, 10, 128, 0, 28.13, 0, FeatureSign
2, 10, 128, 1, 33.31, 81.85, FeatureSign
2, 10, 128, 2, 33.42, 68.84, FeatureSign
2, 10, 128, 3, 33.49, 69.04, FeatureSign
2, 10, 128, 4, 33.52, 67.56, FeatureSign
2, 10, 128, 5, 33.54, 66.70, FeatureSign
2, 10, 128, 6, 33.55, 65.49, FeatureSign
2, 10, 128, 7, 33.56, 66.54, FeatureSign
2, 10, 128, 8, 33.56, 63.02, FeatureSign
2, 10, 256, 0, 28.13, 0, FeatureSign
2, 10, 256, 1, 33.49, 89.15, FeatureSign
2, 10, 256, 2, 33.52, 83.94, FeatureSign
2, 10, 256, 3, 33.55, 81.45, FeatureSign
2, 10, 256, 4, 33.56, 81.40, FeatureSign
2, 10, 256, 5, 33.57, 82.50, FeatureSign
2, 10, 256, 6, 33.57, 77.70, FeatureSign
2, 10, 256, 7, 33.57, 76.86, FeatureSign
2, 10, 256, 8, 33.57, 77.93, FeatureSign
2, 20, 64, 0, 22.09, 0, FeatureSign
2, 20, 64, 1, 29.89, 73.95, FeatureSign
2, 20, 64, 2, 29.89, 73.38, FeatureSign
2, 20, 64, 3, 29.90, 71.83, FeatureSign
2, 20, 64, 4, 29.91, 70.67, FeatureSign
2, 20, 64, 5, 29.92, 71.43, FeatureSign
2, 20, 64, 6, 29.93, 70.47, FeatureSign
2, 20, 64, 7, 29.94, 70.31, FeatureSign
2, 20, 64, 8, 29.95, 68.81, FeatureSign
2, 20, 128, 0, 22.09, 0, FeatureSign
2, 20, 128, 1, 29.91, 87.36, FeatureSign
2, 20, 128, 2, 29.95, 83.07, FeatureSign
2, 20, 128, 3, 29.97, 83.97, FeatureSign
2, 20, 128, 4, 29.98, 81.69, FeatureSign
2, 20, 128, 5, 29.98, 83.10, FeatureSign
2, 20, 128, 6, 29.99, 79.94, FeatureSign
2, 20, 128, 7, 30.00, 82.10, FeatureSign
2, 20, 128, 8, 30.00, 79.42, FeatureSign
2, 20, 256, 0, 22.09, 0, FeatureSign
2, 20, 256, 1, 29.97, 103.91, FeatureSign
2, 20, 256, 2, 30.01, 101.12, FeatureSign
2, 20, 256, 3, 30.03, 98.80, FeatureSign
2, 20, 256, 4, 30.04, 93.84, FeatureSign
2, 20, 256, 5, 30.04, 91.46, FeatureSign
2, 20, 256, 6, 30.06, 90.75, FeatureSign
2, 20, 256, 7, 30.06, 88.22, FeatureSign
2, 20, 256, 8, 30.07, 90.08, FeatureSign
2, 50, 64, 0, 14.15, 0, FeatureSign
2, 50, 64, 1, 25.54, 87.59, FeatureSign
2, 50, 64, 2, 25.54, 86.60, FeatureSign
