ImageNum, Sigma, DictSize, Iter, PSNR(db), Time, Method
1, 10, 64, 0, 28.14, 0, L1LS
1, 10, 64, 1, 33.87, 552.09, L1LS
1, 10, 64, 2, 33.87, 380.97, L1LS
1, 10, 64, 3, 33.87, 369.92, L1LS
1, 10, 64, 4, 33.87, 365.14, L1LS
1, 10, 64, 5, 33.87, 356.63, L1LS
1, 10, 64, 6, 33.87, 368.88, L1LS
1, 10, 64, 7, 33.87, 347.70, L1LS
1, 10, 64, 8, 33.87, 337.64, L1LS
1, 10, 128, 0, 28.14, 0, L1LS
1, 10, 128, 1, 33.85, 3936.77, L1LS
1, 10, 128, 2, 33.85, 4339.19, L1LS
1, 10, 128, 3, 33.85, 3401.09, L1LS
1, 10, 128, 4, 33.85, 7703.33, L1LS
1, 10, 128, 5, 33.85, 12463.34, L1LS
1, 10, 128, 6, 33.85, 12177.31, L1LS
1, 10, 128, 7, 33.86, 3763.44, L1LS
1, 10, 128, 8, 33.86, 3936.06, L1LS
1, 10, 256, 0, 28.14, 0, L1LS
1, 10, 256, 1, 33.97, 8816.69, L1LS
1, 10, 256, 2, 33.97, 9006.09, L1LS
1, 10, 256, 3, 33.97, 9033.42, L1LS
1, 10, 256, 4, 33.97, 9029.61, L1LS
1, 10, 256, 5, 33.97, 9047.28, L1LS
1, 10, 256, 6, 33.97, 9092.20, L1LS
