ImageNum, Sigma, DictSize, Iter, PSNR(db), Time, Method
1, 10, 64, 0, 28.13, 0, MP
1, 10, 64, 1, 33.92, 41.02, MP
1, 10, 64, 2, 33.91, 63.26, MP
1, 10, 64, 3, 33.90, 64.71, MP
1, 10, 64, 4, 33.89, 69.06, MP
1, 10, 64, 5, 33.88, 62.16, MP
1, 10, 64, 6, 33.87, 64.04, MP
1, 10, 64, 7, 33.86, 64.48, MP
1, 10, 64, 8, 33.86, 64.19, MP
1, 10, 128, 0, 28.13, 0, MP
1, 10, 128, 1, 34.00, 76.71, MP
1, 10, 128, 2, 33.99, 61.29, MP
1, 10, 128, 3, 33.99, 74.62, MP
1, 10, 128, 4, 33.98, 70.88, MP
1, 10, 128, 5, 33.97, 69.60, MP
1, 10, 128, 6, 33.97, 61.86, MP
1, 10, 128, 7, 33.97, 61.49, MP
1, 10, 128, 8, 33.97, 76.48, MP
1, 10, 256, 0, 28.13, 0, MP
1, 10, 256, 1, 33.99, 58.44, MP
1, 10, 256, 2, 33.99, 66.29, MP
1, 10, 256, 3, 33.99, 66.23, MP
1, 10, 256, 4, 33.99, 66.04, MP
1, 10, 256, 5, 33.99, 80.15, MP
1, 10, 256, 6, 33.99, 74.94, MP
1, 10, 256, 7, 33.99, 59.82, MP
1, 10, 256, 8, 33.99, 81.97, MP
1, 20, 64, 0, 22.12, 0, MP
1, 20, 64, 1, 29.83, 62.59, MP
1, 20, 64, 2, 29.80, 58.40, MP
1, 20, 64, 3, 29.78, 58.33, MP
1, 20, 64, 4, 29.76, 63.62, MP
1, 20, 64, 5, 29.75, 76.52, MP
1, 20, 64, 6, 29.74, 65.10, MP
1, 20, 64, 7, 29.74, 62.46, MP
1, 20, 64, 8, 29.73, 67.02, MP
1, 20, 128, 0, 22.12, 0, MP
1, 20, 128, 1, 29.97, 78.24, MP
1, 20, 128, 2, 29.95, 64.28, MP
1, 20, 128, 3, 29.94, 68.95, MP
1, 20, 128, 4, 29.93, 61.65, MP
1, 20, 128, 5, 29.92, 61.32, MP
1, 20, 128, 6, 29.92, 61.60, MP
1, 20, 128, 7, 29.92, 78.58, MP
1, 20, 128, 8, 29.91, 61.38, MP
1, 20, 256, 0, 22.12, 0, MP
1, 20, 256, 1, 29.95, 56.26, MP
1, 20, 256, 2, 29.95, 81.45, MP
1, 20, 256, 3, 29.95, 66.16, MP
1, 20, 256, 4, 29.95, 65.90, MP
1, 20, 256, 5, 29.95, 66.20, MP
1, 20, 256, 6, 29.95, 66.36, MP
1, 20, 256, 7, 29.95, 66.22, MP
1, 20, 256, 8, 29.95, 81.48, MP
1, 50, 64, 0, 14.15, 0, MP
1, 50, 64, 1, 24.57, 62.02, MP
1, 50, 64, 2, 24.54, 75.78, MP
1, 50, 64, 3, 24.53, 58.03, MP
1, 50, 64, 4, 24.52, 58.18, MP
1, 50, 64, 5, 24.51, 58.31, MP
1, 50, 64, 6, 24.50, 58.25, MP
1, 50, 64, 7, 24.50, 53.85, MP
1, 50, 64, 8, 24.49, 58.02, MP
1, 50, 128, 0, 14.15, 0, MP
1, 50, 128, 1, 24.75, 61.24, MP
1, 50, 128, 2, 24.73, 67.60, MP
1, 50, 128, 3, 24.73, 61.77, MP
1, 50, 128, 4, 24.72, 61.43, MP
1, 50, 128, 5, 24.71, 61.33, MP
1, 50, 128, 6, 24.71, 61.28, MP
1, 50, 128, 7, 24.71, 61.71, MP
1, 50, 128, 8, 24.71, 61.18, MP
1, 50, 256, 0, 14.15, 0, MP
1, 50, 256, 1, 24.77, 66.04, MP
1, 50, 256, 2, 24.77, 71.41, MP
