ImageNum, Sigma, DictSize, Iter, PSNR(db), Time, Method
1, 10, 64, 0, 28.13, 0, OMP
1, 10, 64, 1, 33.81, 79.23, OMP
1, 10, 64, 2, 33.81, 235.23, OMP
1, 10, 64, 3, 33.81, 236.78, OMP
1, 10, 64, 4, 33.81, 246.92, OMP
1, 10, 64, 5, 33.81, 235.53, OMP
1, 10, 64, 6, 33.81, 237.29, OMP
1, 10, 64, 7, 33.81, 233.52, OMP
1, 10, 64, 8, 33.81, 233.45, OMP
1, 10, 128, 0, 28.13, 0, OMP
1, 10, 128, 1, 33.86, 96.80, OMP
1, 10, 128, 2, 33.86, 245.93, OMP
1, 10, 128, 3, 33.86, 240.40, OMP
1, 10, 128, 4, 33.86, 246.23, OMP
1, 10, 128, 5, 33.86, 243.05, OMP
1, 10, 128, 6, 33.86, 239.88, OMP
1, 10, 128, 7, 33.86, 250.73, OMP
1, 10, 128, 8, 33.86, 251.91, OMP
1, 10, 256, 0, 28.13, 0, OMP
1, 10, 256, 1, 33.99, 150.19, OMP
1, 10, 256, 2, 33.99, 254.13, OMP
1, 10, 256, 3, 33.99, 259.58, OMP
1, 10, 256, 4, 33.99, 245.08, OMP
1, 10, 256, 5, 33.99, 248.97, OMP
1, 10, 256, 6, 33.99, 259.14, OMP
1, 10, 256, 7, 33.99, 285.68, OMP
1, 10, 256, 8, 33.99, 287.31, OMP
1, 20, 64, 0, 22.12, 0, OMP
1, 20, 64, 1, 29.85, 92.58, OMP
1, 20, 64, 2, 29.85, 322.03, OMP
1, 20, 64, 3, 29.85, 283.99, OMP
1, 20, 64, 4, 29.85, 296.67, OMP
1, 20, 64, 5, 29.85, 298.07, OMP
1, 20, 64, 6, 29.85, 284.45, OMP
1, 20, 64, 7, 29.85, 295.67, OMP
1, 20, 64, 8, 29.85, 287.48, OMP
1, 20, 128, 0, 22.12, 0, OMP
1, 20, 128, 1, 29.92, 117.46, OMP
1, 20, 128, 2, 29.92, 314.91, OMP
1, 20, 128, 3, 29.92, 272.10, OMP
1, 20, 128, 4, 29.92, 277.15, OMP
1, 20, 128, 5, 29.92, 279.50, OMP
1, 20, 128, 6, 29.92, 289.00, OMP
1, 20, 128, 7, 29.92, 271.57, OMP
1, 20, 128, 8, 29.92, 230.28, OMP
1, 20, 256, 0, 22.12, 0, OMP
1, 20, 256, 1, 29.93, 134.44, OMP
1, 20, 256, 2, 29.93, 244.97, OMP
1, 20, 256, 3, 29.93, 244.25, OMP
1, 20, 256, 4, 29.93, 227.77, OMP
1, 20, 256, 5, 29.93, 219.78, OMP
1, 20, 256, 6, 29.93, 219.55, OMP
1, 20, 256, 7, 29.93, 232.08, OMP
1, 20, 256, 8, 29.93, 221.50, OMP
1, 50, 64, 0, 14.16, 0, OMP
1, 50, 64, 1, 24.60, 80.27, OMP
1, 50, 64, 2, 24.60, 240.00, OMP
1, 50, 64, 3, 24.60, 233.21, OMP
1, 50, 64, 4, 24.60, 223.43, OMP
1, 50, 64, 5, 24.60, 239.96, OMP
1, 50, 64, 6, 24.60, 226.45, OMP
1, 50, 64, 7, 24.60, 231.58, OMP
1, 50, 64, 8, 24.60, 234.60, OMP
1, 50, 128, 0, 14.16, 0, OMP
1, 50, 128, 1, 24.78, 92.08, OMP
1, 50, 128, 2, 24.78, 242.08, OMP
1, 50, 128, 3, 24.78, 240.08, OMP
1, 50, 128, 4, 24.78, 247.00, OMP
1, 50, 128, 5, 24.78, 229.89, OMP
1, 50, 128, 6, 24.78, 230.03, OMP
1, 50, 128, 7, 24.78, 221.43, OMP
1, 50, 128, 8, 24.78, 221.24, OMP
1, 50, 256, 0, 14.16, 0, OMP
1, 50, 256, 1, 24.79, 133.63, OMP
1, 50, 256, 2, 24.79, 240.53, OMP
1, 50, 256, 3, 24.79, 244.75, OMP
1, 50, 256, 4, 24.79, 238.69, OMP
1, 50, 256, 5, 24.79, 239.38, OMP
1, 50, 256, 6, 24.79, 241.94, OMP
1, 50, 256, 7, 24.79, 237.35, OMP
1, 50, 256, 8, 24.79, 237.59, OMP
2, 10, 64, 0, 28.12, 0, OMP
2, 10, 64, 1, 33.28, 69.49, OMP
2, 10, 64, 2, 33.28, 239.08, OMP
2, 10, 64, 3, 33.28, 227.87, OMP
2, 10, 64, 4, 33.28, 247.73, OMP
2, 10, 64, 5, 33.28, 248.07, OMP
2, 10, 64, 6, 33.28, 243.31, OMP
2, 10, 64, 7, 33.28, 240.41, OMP
2, 10, 64, 8, 33.28, 246.55, OMP
2, 10, 128, 0, 28.12, 0, OMP
2, 10, 128, 1, 33.18, 102.00, OMP
2, 10, 128, 2, 33.18, 243.53, OMP
2, 10, 128, 3, 33.18, 237.95, OMP
2, 10, 128, 4, 33.18, 239.51, OMP
2, 10, 128, 5, 33.18, 240.70, OMP
2, 10, 128, 6, 33.18, 239.95, OMP
2, 10, 128, 7, 33.18, 226.23, OMP
2, 10, 128, 8, 33.18, 238.94, OMP
2, 10, 256, 0, 28.12, 0, OMP
2, 10, 256, 1, 33.44, 135.33, OMP
2, 10, 256, 2, 33.44, 219.19, OMP
2, 10, 256, 3, 33.44, 243.19, OMP
2, 10, 256, 4, 33.44, 234.84, OMP
2, 10, 256, 5, 33.44, 242.05, OMP
2, 10, 256, 6, 33.44, 244.21, OMP
2, 10, 256, 7, 33.44, 232.42, OMP
2, 10, 256, 8, 33.44, 235.27, OMP
2, 20, 64, 0, 22.08, 0, OMP
2, 20, 64, 1, 29.82, 84.84, OMP
2, 20, 64, 2, 29.82, 253.70, OMP
2, 20, 64, 3, 29.82, 242.42, OMP
2, 20, 64, 4, 29.82, 237.46, OMP
2, 20, 64, 5, 29.82, 235.90, OMP
2, 20, 64, 6, 29.82, 232.31, OMP
2, 20, 64, 7, 29.82, 237.87, OMP
2, 20, 64, 8, 29.82, 239.06, OMP
2, 20, 128, 0, 22.08, 0, OMP
2, 20, 128, 1, 29.81, 99.42, OMP
2, 20, 128, 2, 29.81, 246.72, OMP
2, 20, 128, 3, 29.81, 236.95, OMP
2, 20, 128, 4, 29.81, 248.98, OMP
2, 20, 128, 5, 29.81, 244.11, OMP
2, 20, 128, 6, 29.81, 238.01, OMP
2, 20, 128, 7, 29.81, 229.60, OMP
2, 20, 128, 8, 29.81, 225.97, OMP
2, 20, 256, 0, 22.08, 0, OMP
2, 20, 256, 1, 29.87, 142.16, OMP
2, 20, 256, 2, 29.87, 237.83, OMP
